2026-05-12,88.55,74.3
2026-05-13,87.38,73.79
2026-05-14,85.9,73.34
2026-05-15,86.29,73.14
2026-05-16,85.18,73.13
2026-05-17,85.18,73.13
2026-05-18,85.18,73.13
2026-05-19,84.07,72.35
2026-05-20,82.79,71.29
2026-05-21,81.98,70.95
2026-05-22,83.27,70.79
2026-05-23,82.54,71.21
2026-05-24,82.54,71.21
2026-05-25,82.54,71.21
2026-05-26,85.45,71.55
2026-05-27,83.3,71.67
2026-05-28,82.72,70.9
2026-05-29,83.69,71.37
2026-05-30,82.64,71.02
2026-05-31,82.64,71.02
2026-06-01,82.64,71.02
2026-06-02,86.25,71.55
2026-06-03,84.61,72.56
2026-06-04,85.12,73.34
2026-06-05,86.27,74.3
2026-06-06,85.56,73.47
2026-06-07,85.56,73.47
2026-06-08,85.56,73.47
2026-06-09,85.28,73.26
2026-06-10,82.78,71.73
2026-06-11,83.08,71.79
2026-06-12,82.97,71.91
2026-06-13,82.97,71.91
2026-06-14,82.97,71.91
2026-06-15,82.97,71.91
2026-06-16,83.8,72.45
2026-06-17,83.73,72.14
2026-06-18,84.34,72.75
2026-06-19,85.03,73.36
2026-06-20,84.17,73.44
2026-06-21,84.17,73.44
2026-06-22,84.17,73.44
2026-06-23,84.59,73.77
2026-06-24,85.48,74.62
2026-06-25,85.18,74.77
2026-06-26,85.77,75.63
2026-06-27,87.4,77.06
2026-06-28,87.4,77.06
2026-06-29,87.4,77.06
2026-06-30,88.65,77.75
2026-07-01,89.27,78.27
2026-07-02,89.18,78.27
2026-07-03,88.71,77.93
2026-07-04,88.03,77.23
2026-07-05,88.03,77.23
2026-07-06,88.03,77.23
2026-07-07,89.26,77.97
2026-07-08,86.9,76.13
2026-07-09,87.35,76.4
2026-07-10,86.59,75.93
2026-07-11,87.67,76.66
2026-07-12,87.67,76.66
2026-07-14,87.58,76.62
2026-07-15,88.53,77.49
2026-07-16,88.91,77.96
2026-07-19,89.9,78.4
2026-07-20,89.9,78.4
2026-07-21,89.55,78.32
2026-07-22,89.76,78.55
2026-07-23,89.6,78.48
2026-07-24,89.44,78.4
2026-07-25,88.89,78.03
2026-07-26,88.89,78.03
2026-08-01,91.19,79.46
2026-08-02,91.19,79.46
2026-08-04,91.96,80.07
2026-08-05,93.58,81.13
2026-08-06,93.19,80.93
2026-08-09,94.84,82.17
2026-08-11,95.29,82.61
2026-08-14,96.75,83.81
