30,160,3,15,0,Сметана 15% Сладкая Жизнь,https://goods.swnn.ru/125520.jpg,2,1,100г
31,40,8.6,0.1,1.7,Лук,https://tsx.x5static.net/i/800x800-fit/xdelivery/files/67/36/724a8bcbfb713009bff8d16bbac0.jpg,1,,шт
32,110,30,0.5,3,Банан,https://main-cdn.sbermegamarket.ru/big1/hlr-system/108/037/391/812/519/7/100028181159b0.jpg,1.5,,шт
33,559,10.7,49.1,6,Тыквенные семечки,https://i4.storeland.net/2/5690/156893135/075a3e/tykvennye-semechki-ochishhennye-jekstra-kupit-v-spb-nedorogo.png,30.2,,100г
34,179.4,6.6,1,0,Творог СВЕТАЕВО,https://catalog-images.x5static.net/product/1432100-main/800x800.jpeg?updated_at=2025-02-05T07:06:20.171Z,36,0,шт
7,340,72,1.5,3,Макароны,https://tsx.x5static.net/i/800x800-fit/xdelivery/files/a7/a7/89fce3b71e3765be6c6d204cfff1.jpg,12,,100г
8,110,0,1.5,0,Куриная грудка,https://5armia.ru/pic/40e012fd7ea0045d0338394fe244bc5f.jpg,22.5,,100г
9,315,0,27,0,Лопатка свиная,https://swlife.ru/image/cache/catalog/product/ec/c2/ecc257dd9b0aa66270f840a24ad14684-0x0.webp,18,,100г
10,182,13,5.2,0,Коктейль молочный ореховый латте,https://tsx.x5static.net/i/400x400-fit/xdelivery/files/0c/d0/5916df6f9927b8bd173ef93eca88.jpg,20.28,0,шт
11,78,0.3,5.5,0,Яйца С1,https://rakita-agro.ru/wp-content/uploads/2025/07/4_zygrt-ntcwsbthe-9iolgisja-k3f3ekgtwi7n9sr38g9wzamdmd6rplnu_bl9v3900-i9junbjpimll-yc2vi.jpg,6.2,,шт
12,86.9,4,4.5,0,Рикотта,https://main-cdn.sbermegamarket.ru/big1/hlr-system/-13/818/261/951/230/123/8/100043940633b0.jpg,7.6,4,100г
14,63,11.8,0.3,2.5,Смесь овощная GREENOLA,https://main-cdn.sbermegamarket.ru/big1/hlr-system/237/375/216/111/623/32/100045249218b0.jpg,3.4,0,100г
15,40,7.5,0.4,2.1,Клубника GREENOLA,https://main-cdn.sbermegamarket.ru/big1/hlr-system/-12/721/278/241/114/014/100061798839b0.jpg,0.2,0,100г
17,65,15,0.2,3,Апельсин,https://ir.ozone.ru/s3/multimedia-1-i/c1000/7494628086.jpg,1.2,,шт
16,90,23,0.5,4,Яблоко,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Red_Apple.jpg/1280px-Red_Apple.jpg?utm_source=en.wiktionary.org&utm_campaign=index&utm_content=thumbnail,0.6,,шт
19,162,5.94,0,0,Творог сладкая жизнь 0%,https://goods.swnn.ru/120786_1.jpg,32.4,1,шт
